Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,EAR,% <EAR,%<EAR_SE,p-value_%EAR,Both,Male,Female,AI,% >AI,%>AI_SE,p-value_%AI,UL,% >UL,%>UL_SE,AMDR,% below AMDR,% below AMDR_SE,% within AMDR,% within AMDR_SE,p-value  % within AMDR,% above AMDR,% above AMDR_SE,p-value % below AMDR,p-value % above AMDR,CDRR,% >CDRR,%>CDRR_SE,p-value_%CDRR,%Inadequacy,%Inadequacy_SE,p_value %Inadequacy,%  above AMDR_SE,p-value_%UL
Magnesium (mg/d),2015,Newfoundland and Labrador,Male,31-50,119,296,13,173,11,195,11,235,12,286,13,348,15,410,18,454,22,350,75.7082217803588,4.77712707477214,0.172998884169789,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Female,31-50,127,222,11,137,10,151,10,177,11,216,11,259,13,301,17,334,18,265,78.0281874875211,5.95756734013396,0.003965660104646,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Male,51-70,150,279,14,148,11,172,11,212,12,269,14,333,17,398,20,448,25,350,79.860202449522,4.58011560784605,0.606730180822367,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Female,51-70,161,237,9,131,7,150,7,184,8,229,9,282,10,335,12,372,14,265,67.933787771428,4.28560366476088,0.018138832654814,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Male,71 years and over,96,287,14,157,10,179,10,221,12,277,14,342,16,409,20,456,22,350,77.6258287268787,4.81230230706749,0.014462447077508,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Female,71 years and over,87,243,11,132,9,152,9,188,10,234,11,288,13,343,15,384,17,265,65.9155613947777,5.47088748231633,0.004995258634508,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Male,19 years and over,400,286,8,156,6,179,7,220,7,273,8,340,10,411,12,455,13,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Female,19 years and over,426,229,6,129,5,146,5,178,6,220,7,270,8,323,9,358,10,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Both,1-3,79,204,8,123,8,138,8,166,8,200,8,239,9,277,10,299,12,65,<3,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Both,4-8,127,242,6,165,7,180,6,207,6,238,6,273,7,309,9,330,11,110,<3,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Male,9-13,111,311,11,191,10,211,10,253,10,303,11,361,13,420,16,459,19,200,7.18320014709864,2.2E,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Female,9-13,96,256,7,163,8,181,8,213,7,252,7,294,8,336,11,363,12,200,18.0001300384984,3.8E,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Male,14-18,107,328,16,174,13,198,14,247,15,312,16,392,19,477,24,533,29,340,59.7011260420471,5.87912652086043,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Female,14-18,105,227,14,131,11,147,11,180,12,220,14,267,16,315,18,345,21,300,86.9693345822673,5.24541757123823,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Male,19-30,77,311,14,165,14,191,13,239,13,299,14,372,18,446,24,499,30,330,62.527731994066,5.53241142278899,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Female,19-30,91,223,13,125,12,141,12,174,12,215,13,265,15,315,17,347,21,255,70.4423217227198,6.46458864579459,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Male,31-50,145,310,14,182,13,204,13,245,14,299,15,363,17,430,20,473,23,350,70.322068855463,5.7205095855002,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Female,31-50,167,241,12,148,10,164,10,196,11,233,12,279,15,328,17,357,21,265,68.423993968921,7.16248471651978,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Male,51-70,182,286,15,156,11,177,12,220,13,273,15,340,17,410,21,455,24,350,78.0605025040788,5.12373931623264,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Female,51-70,198,250,9,138,8,158,8,195,8,242,9,296,11,352,14,391,16,265,61.5703024555991,4.70588450476276,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Male,71 years and over,63,307,16,168,11,192,12,238,13,295,16,366,18,437,22,484,24,350,69.9852521478796,5.68062641750933,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Female,71 years and over,74,262,12,146,10,165,11,203,11,252,13,310,14,369,16,409,18,265,56.499545445868,6.25447635505534,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Male,19 years and over,467,305,9,167,7,190,8,235,8,293,9,363,10,436,12,482,14,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Newfoundland and Labrador,Female,19 years and over,530,245,7,139,5,157,5,192,6,237,7,289,8,344,10,380,11,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Both,1-3,77,224,10,140,9,157,9,183,9,220,10,260,11,297,13,322,14,65,<3,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Both,4-8,86,235,7,161,7,175,7,200,7,232,7,267,8,300,10,321,11,110,<3,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Male,9-13,72,274,11,166,10,186,10,219,10,265,11,319,13,372,15,411,18,200,15.292697396844,4.0E,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Female,9-13,79,244,9,154,9,172,9,203,9,240,9,281,10,320,13,346,14,200,23.2765739604778,4.9E,0.034666035261894,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Male,14-18,57,320,17,171,13,197,13,241,15,306,16,383,20,461,26,516,30,340,62.4846605091277,6.13707564122794,0.066382257815733,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Female,14-18,71,232,12,135,10,154,10,184,11,226,11,275,13,319,17,352,18,300,85.0442596591791,4.78127857023426,0.400574295875623,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Male,19-30,45,339,24,183,20,208,21,262,21,324,24,403,28,481,37,541,42,330,52.0062603467861,8.9E,0.037167277037311,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Female,19-30,58,258,15,147,12,169,12,204,13,251,15,305,18,358,23,396,26,255,52.3599437960815,8.15836423914804,0.174209150812961,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Male,31-50,97,325,15,191,12,216,12,258,13,315,15,381,18,448,23,494,27,350,64.6213368835456,6.22758902632684,0.101747055931906,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Female,31-50,116,260,11,160,10,178,10,211,10,254,11,301,13,351,16,385,19,265,56.532092371057,6.38413724409637,0.001867159951758,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Male,51-70,116,329,12,185,11,208,11,254,12,318,12,391,14,462,18,513,21,350,62.3337818847067,4.61059599401782,0.347339176512281,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Female,51-70,129,273,9,157,8,177,9,216,9,263,9,321,10,383,13,418,15,265,51.1497710900954,4.4988559819776,0.007418277280473,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Male,71 years and over,55,292,14,158,9,184,11,226,12,282,15,349,18,414,20,461,22,350,75.3806761917094,5.04604821691805,0.018918921853328,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Female,71 years and over,68,245,10,135,8,154,8,190,9,236,10,292,12,347,14,385,16,265,63.7240872714685,5.03210975162813,0.000878746754522,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Male,19 years and over,313,325,8,181,7,205,7,252,8,313,8,385,10,460,12,512,14,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Prince Edward Island,Female,19 years and over,371,262,6,151,5,170,5,206,5,254,6,309,7,366,9,406,10,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Both,1-3,58,239,10,149,9,167,9,198,9,235,10,276,11,318,13,342,15,65,0,0.01984751022204,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Both,4-8,110,252,7,172,8,188,8,215,7,250,8,286,9,320,10,341,12,110,<3,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Male,9-13,95,311,13,194,11,215,11,254,11,304,13,359,14,414,18,454,20,200,F,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Female,9-13,75,261,9,170,10,186,9,218,9,257,9,299,11,340,14,365,16,200,16.3953241219448,4.0E,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Male,14-18,87,338,18,181,14,207,15,258,16,324,17,402,21,485,27,543,31,340,55.4928925555324,6.35930819979062,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Female,14-18,81,238,12,139,11,157,10,189,11,231,12,278,14,326,17,357,20,300,82.8777159145114,5.22366717932056,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Male,19-30,70,369,24,204,20,233,21,287,21,355,24,437,28,527,35,579,41,330,40.4866431625578,8.3E,,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Female,19-30,101,272,16,157,13,178,13,217,15,264,16,318,19,375,23,414,26,255,45.1310126360518,8.3E,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Male,31-50,109,343,17,202,14,228,14,274,15,331,17,400,20,472,24,520,28,350,57.6828033761523,6.91550866733313,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Female,31-50,116,282,12,176,11,193,11,229,11,274,12,325,14,381,18,415,21,265,45.1416597635691,6.61795181585811,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Male,51-70,128,341,14,190,13,216,13,265,13,328,14,403,16,479,19,532,22,350,58.6704307312713,5.54362953619219,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Female,51-70,146,288,10,162,9,186,9,226,9,279,10,341,12,400,14,441,16,265,43.5628842074938,4.74940707703534,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Male,71 years and over,65,315,16,177,12,199,12,244,13,302,16,373,19,443,22,491,24,350,67.7788017196764,5.92468829013038,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Female,71 years and over,94,268,11,152,9,173,9,210,10,258,11,315,13,377,15,417,17,265,53.3095035664045,5.37440911185194,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Male,19 years and over,372,344,9,193,7,219,8,267,8,332,9,407,11,486,13,540,15,,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Prince Edward Island,Female,19 years and over,457,280,7,162,6,183,6,221,6,271,7,329,8,388,10,428,11,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Both,1-3,89,199,8,118,8,134,8,161,8,194,8,233,10,270,11,292,13,65,<3,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Both,4-8,83,240,7,164,8,178,8,205,8,237,8,271,8,305,10,327,11,110,<3,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Male,9-13,69,279,11,170,9,188,10,226,10,271,11,323,13,380,15,417,17,200,14.193516168035,3.6E,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Female,9-13,75,237,10,148,10,164,10,195,10,233,10,275,12,315,14,339,15,200,27.718725099403,6.0E,0.011666228665912,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Male,14-18,83,311,15,165,13,187,13,234,14,297,15,371,18,454,23,505,27,340,66.0233366204515,5.48239908477974,0.048764058304174,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Female,14-18,70,233,13,136,11,153,11,186,12,226,13,273,15,322,18,353,20,300,84.5944728793514,4.75118688047829,0.337614668792599,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Male,19-30,57,357,23,197,19,225,19,274,20,344,23,425,28,510,36,571,43,330,45.3916342814063,8.2E,0.065146087706506,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Female,19-30,72,257,16,150,13,169,13,204,14,250,16,300,19,357,23,391,27,255,52.9254043453611,8.52793401610665,0.168095876884181,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Male,31-50,136,357,16,217,14,240,14,287,14,346,15,416,18,487,22,530,26,350,51.4593136687857,6.36705646441558,0.009253484904524,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Female,31-50,166,283,9,175,10,194,10,230,9,275,9,328,11,383,14,417,17,265,44.2981668382323,5.23706916533806,<0.001,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Male,51-70,152,353,12,199,11,228,11,278,11,340,12,415,14,496,19,546,22,350,53.8884183279778,4.59167394378528,0.022134065839826,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Female,51-70,169,274,9,155,8,176,8,215,8,266,9,326,11,381,13,420,15,265,49.4163262670043,4.35642430248948,0.00974460576719,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Male,71 years and over,77,293,13,159,10,179,12,226,12,282,13,347,16,418,18,464,20,350,75.8436998085179,4.70912736472859,0.019095728242709,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Female,71 years and over,127,233,10,128,7,147,7,181,8,225,9,276,12,332,14,366,16,265,70.6772912759659,4.9927900849225,0.000522627524308,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Male,19 years and over,422,348,9,194,7,221,7,270,8,336,9,412,10,492,13,543,14,,,,,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Nova Scotia,Female,19 years and over,534,268,6,154,5,173,5,211,5,259,6,316,7,374,8,412,10,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Nova Scotia,Both,1-3,112,212,9,130,8,145,8,172,8,208,9,247,10,284,12,307,14,65,<3,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Nova Scotia,Both,4-8,177,256,8,176,8,192,8,220,8,253,8,289,9,325,11,348,12,110,<3,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Nova Scotia,Male,9-13,111,319,11,197,10,218,10,258,10,311,11,372,14,427,16,463,19,200,F,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Nova Scotia,Female,9-13,105,255,11,165,11,180,10,211,10,250,11,293,12,336,14,360,16,200,19.0883690072143,5.0E,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Nova Scotia,Male,14-18,113,329,15,178,13,203,13,248,14,315,15,390,18,479,23,530,27,340,58.8122776750256,5.3513655166838,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,
