Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,AI,% >AI,%>AI_SE,p-value_%>AI,UL,% >UL,%>UL_SE,p-value_%>UL,EAR,% <EAR,%<EAR_SE,p-value_%<EAR,AMDR,%<AMDR,%<AMDR_SE,p-value_%<AMDR,%withinAMDR,%withinAMDR_SE,p-value_%withinAMDR,%>AMDR,%>AMDR_SE,p-value_%>AMDR,Male,Female,Both
Vitamin D (mcg/d),2004,Ontario,Male,31-50,709,5.3,0.2,2.1,0.3,2.5,0.3,3.5,0.3,4.8,0.2,6.6,0.3,8.6,0.6,10.0,0.8,,,,,100.0,0,0,,10.0,95.0,1.9,,,,,,,,,,,,5.3,,
Vitamin D (mcg/d),2004,Ontario,Female,31-50,758,4.6,0.2,1.6,0.2,2.1,0.2,2.9,0.2,4.2,0.2,5.8,0.3,7.7,0.5,9.0,0.7,,,,,100.0,0,0,,10.0,97.2,1.3,,,,,,,,,,,,,4.6,
Vitamin D (mcg/d),2004,Ontario,Male,51-70,758,6.0,0.3,2,0.3,2.5,0.3,3.7,0.3,5.4,0.3,7.6,0.4,10.3,0.8,12.3,1.1,,,,,100.0,0,0,,10.0,88.8,2.9,,,,,,,,,,,,6.0,,
Vitamin D (mcg/d),2004,Ontario,Female,51-70,955,4.4,0.2,1.9,0.2,2.3,0.2,3.0,0.2,4.1,0.2,5.4,0.2,6.9,0.4,7.9,0.5,,,,,100.0,0,0,,10.0,98.9,0.7,,,,,,,,,,,,,4.4,
Vitamin D (mcg/d),2004,Ontario,Male,71 years and over,734,6.2,0.3,2.3,0.2,2.9,0.2,4.0,0.2,5.6,0.3,7.8,0.4,10.2,0.6,12.0,0.8,,,,,100.0,0,0,,10.0,89.2,2.3,,,,,,,,,,,,6.2,,
Vitamin D (mcg/d),2004,Ontario,Female,71 years and over,1345,4.9,0.2,2.3,0.3,2.7,0.3,3.4,0.2,4.6,0.2,6.0,0.2,7.5,0.4,8.5,0.5,,,,,100.0,0,0,,10.0,98.3,0.9,,,,,,,,,,,,,4.9,
Vitamin D (mcg/d),2004,Ontario,Male,19 years and over,2682,5.7,0.1,2.1,0.2,2.6,0.2,3.6,0.1,5.2,0.1,7.2,0.2,9.5,0.3,11.2,0.5,,,,,100.0,0,0,,10.0,91.9,1.3,,,,,,,,,,,,5.7,,
Vitamin D (mcg/d),2004,Ontario,Female,19 years and over,3572,4.5,0.1,1.7,0.1,2.1,0.1,3.0,0.1,4.1,0.1,5.7,0.1,7.3,0.2,8.6,0.3,,,,,100.0,0,0,,10.0,97.9,0.6,,,,,,,,,,,,,4.5,
Total fats (g/d),2015,Ontario,Both,1-3,228,46.38,1.59,26.24,1.58,29.99,1.54,36.81,1.53,45.43,1.59,54.7,1.87,64.3,2.3,70.32,2.68,,,,,,,,,,,,,,,,,,,,,,,,,46.38
Total fats (g/d),2015,Ontario,Both,4-8,221,54.49,1.52,37.95,3.35,41.13,2.86,46.58,2.11,53.72,1.54,61.49,2.14,69.09,3.5,73.63,4.54,,,,,,,,,,,,,,,,,,,,,,,,,54.49
Total fats (g/d),2015,Ontario,Male,9-13,187,69.86,2.29,41.23,2.56,46.27,2.45,55.84,2.27,67.58,2.33,81.63,2.74,96.3,3.61,106.34,4.44,,,,,,,,,,,,,,,,,,,,,,,69.86,,
Total fats (g/d),2015,Ontario,Female,9-13,158,62.79,1.99,39.34,2.62,43.77,2.38,51.52,2.08,61.54,1.97,72.47,2.53,83.35,3.55,90.37,4.3,,,,,,,,,,,,,,,,,,,,,,,,62.79,
Total fats (g/d),2015,Ontario,Male,14-18,165,89.02,3.23,54.04,3.71,60.57,3.46,72.33,3.13,86.71,3.16,103.1,4.14,120.1,5.92,132.61,7.49,,,,,,,,,,,,,,,,,,,,,,,89.02,,
Total fats (g/d),2015,Ontario,Female,14-18,209,66.8,2.63,36.6,2.36,41.86,2.32,52.11,2.38,64.65,2.58,79.34,3.22,94.4,4.24,103.84,4.99,,,,,,,,,,,,,,,,,,,,,,,,66.8,
Total fats (g/d),2015,Ontario,Male,19-30,179,88.29,5.01,51.17,6.25,57.76,5.76,69.96,5.04,86.02,4.9,103.9,6.33,122.03,8.93,133.69,10.99,,,,,,,,,,,,,,,,,,,,,,,88.29,,
Total fats (g/d),2015,Ontario,Female,19-30,166,58.55,2.23,34.45,3.44,38.7,3.15,46.81,2.58,57.34,2.21,68.47,2.93,80.15,4.42,87.79,5.63,,,,,,,,,,,,,,,,,,,,,,,,58.55,
Total fats (g/d),2015,Ontario,Male,31-50,449,77.64,2.35,40.3,2.67,46.58,2.57,58.6,2.43,74.98,2.41,93.34,2.84,112.07,3.89,124.99,4.75,,,,,,,,,,,,,,,,,,,,,,,77.64,,
Total fats (g/d),2015,Ontario,Female,31-50,501,60.65,1.83,37.05,3.65,41.52,3.18,49.3,2.37,59.33,1.84,70.42,2.66,81.69,4.4,88.94,5.73,,,,,,,,,,,,,,,,,,,,,,,,60.65,
Total fats (g/d),2015,Ontario,Male,51-70,455,73.79,2.75,36.66,2.53,43.12,2.49,54.82,2.52,70.93,2.65,89.27,3.35,108.65,4.41,121.54,5.29,,,,,,,,,,,,,,,,,,,,,,,73.79,,
Total fats (g/d),2015,Ontario,Female,51-70,513,53.79,1.28,28.66,1.67,32.98,1.58,41.11,1.45,52.05,1.31,64.46,1.53,76.82,2.16,85.19,2.67,,,,,,,,,,,,,,,,,,,,,,,,53.79,
Total fats (g/d),2015,Ontario,Male,71 years and over,238,65.73,2.09,32.87,1.91,38.99,1.92,49.77,1.94,63.36,2.06,79.25,2.62,95.43,3.49,106.52,4.45,,,,,,,,,,,,,,,,,,,,,,,65.73,,
Total fats (g/d),2015,Ontario,Female,71 years and over,309,52.29,1.58,29.84,1.68,33.9,1.59,41.12,1.52,50.93,1.56,61.76,1.95,72.9,2.61,79.86,3.11,,,,,,,,,,,,,,,,,,,,,,,,52.29,
Total fats (g/d),2015,Ontario,Male,19 years and over,1321,77.41,1.63,38.2,1.54,44.89,1.51,57.59,1.5,74.2,1.61,93.65,1.99,113.87,2.62,127.21,3.13,,,,,,,,,,,,,,,,,,,,,,,77.41,,
Total fats (g/d),2015,Ontario,Female,19 years and over,1489,57.05,0.94,32.01,1.25,36.47,1.15,44.7,1.0,55.35,0.93,67.5,1.2,80.06,1.83,88.17,2.29,,,,,,,,,,,,,,,,,,,,,,,,57.05,
Total fats (g/d),2004,Ontario,Both,1-3,644,49.44,1.27,28.27,1.42,32.08,1.37,39.25,1.26,48.27,1.26,58.33,1.54,68.32,2.04,74.91,2.49,,,,,,,,,,,,,,,,,,,,,,,,,49.44
Total fats (g/d),2004,Ontario,Both,4-8,956,62.55,1.19,44.32,3.67,47.83,3.1,54.02,2.09,61.67,1.23,70.11,1.94,78.42,3.53,83.8,4.66,,,,,,,,,,,,,,,,,,,,,,,,,62.55
Total fats (g/d),2004,Ontario,Male,9-13,589,82.8,1.85,49.85,2.69,55.8,2.47,66.7,2.11,80.59,1.89,96.43,2.24,112.72,3.24,123.46,4.13,,,,,,,,,,,,,,,,,,,,,,,82.8,,
Total fats (g/d),2004,Ontario,Female,9-13,585,69.12,1.69,43.86,2.7,48.74,2.38,57.17,1.91,67.93,1.66,79.55,2.23,91.18,3.35,98.72,4.2,,,,,,,,,,,,,,,,,,,,,,,,69.12,
Total fats (g/d),2004,Ontario,Male,14-18,639,100.47,2.87,62.01,4.07,68.98,3.7,81.63,3.11,98.03,2.81,116.38,3.79,135.43,5.81,147.67,7.4,,,,,,,,,,,,,,,,,,,,,,,100.47,,
Total fats (g/d),2004,Ontario,Female,14-18,645,71.02,1.94,39.9,2.17,45.45,2.07,55.59,1.87,68.91,1.91,84.05,2.47,99.45,3.52,109.54,4.36,,,,,,,,,,,,,,,,,,,,,,,,71.02,
Total fats (g/d),2004,Ontario,Male,19-30,481,95.64,3.72,56.53,6.19,63.43,5.51,76.21,4.38,93.1,3.69,111.91,5.03,131.49,7.88,144.58,10.18,,,,,,,,,,,,,,,,,,,,,,,95.64,,
Total fats (g/d),2004,Ontario,Female,19-30,514,61.53,1.99,36.7,3.47,41.44,3.06,49.7,2.41,60.16,1.99,71.89,2.7,83.57,4.23,91.06,5.4,,,,,,,,,,,,,,,,,,,,,,,,61.53,
Total fats (g/d),2004,Ontario,Male,31-50,709,84.41,2.49,44.47,2.87,51.29,2.77,64.53,2.55,81.25,2.57,100.92,3.07,121.7,4.09,134.68,5.05,,,,,,,,,,,,,,,,,,,,,,,84.41,,
Total fats (g/d),2004,Ontario,Female,31-50,758,65.76,1.88,40.37,3.92,45.04,3.41,53.65,2.5,64.22,1.86,76.24,2.77,88.42,4.7,96.03,6.08,,,,,,,,,,,,,,,,,,,,,,,,65.76,
Total fats (g/d),2004,Ontario,Male,51-70,758,78.08,2.41,39.15,2.57,45.59,2.51,58.47,2.34,75.0,2.38,94.21,2.91,114.32,3.95,127.73,4.86,,,,,,,,,,,,,,,,,,,,,,,78.08,,
Total fats (g/d),2004,Ontario,Female,51-70,955,57.22,1.28,30.78,1.71,35.5,1.61,44.28,1.42,55.52,1.32,68.19,1.54,81.03,2.21,89.47,2.77,,,,,,,,,,,,,,,,,,,,,,,,57.22,
Total fats (g/d),2004,Ontario,Male,71 years and over,734,66.5,1.86,33.77,1.88,39.71,1.83,50.48,1.78,64.31,1.89,80.08,2.35,95.97,3.2,106.85,3.94,,,,,,,,,,,,,,,,,,,,,,,66.5,,
Total fats (g/d),2004,Ontario,Female,71 years and over,1345,53.59,1.26,30.62,1.59,34.71,1.47,42.3,1.29,52.07,1.24,63.25,1.6,74.49,2.26,81.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,53.59,
Total fats (g/d),2004,Ontario,Male,19 years and over,2682,84.0,1.45,42.43,1.57,49.47,1.52,63.13,1.43,80.66,1.45,101.26,1.76,122.73,2.41,137.21,3.02,,,,,,,,,,,,,,,,,,,,,,,84.0,,
Total fats (g/d),2004,Ontario,Female,19 years and over,3572,61.09,0.93,34.71,1.3,39.46,1.19,48.23,1.0,59.29,0.91,72.22,1.26,84.86,1.81,93.34,2.31,,,,,,,,,,,,,,,,,,,,,,,,61.09,
Total energy intake (kcal/d),2015,Ontario,Both,1-3,228,1296.0,34.8,824.3,155E,918.0,126.2,1083.0,77.2,1283.2,35.0,1490.2,72.2,1697.6,135.2,1824.3,175.9,,,,,,,,,,,,,,,,,,,,,,,,,1296.0
Total energy intake (kcal/d),2015,Ontario,Both,4-8,221,1631.6,33.8,1227.1,71.8,1307.6,62,1443.4,46.1,1617.4,34.7,1802.6,43.9,1980.2,69.0,2085.0,89.3,,,,,,,,,,,,,,,,,,,,,,,,,1631.6
Total energy intake (kcal/d),2015,Ontario,Male,9-13,187,1982.1,51.0,1295.8,70.7,1423.9,65.3,1660.5,56.0,1940.7,52.5,2264.1,57.3,2591.2,73.2,2809.4,90.0,,,,,,,,,,,,,,,,,,,,,,,1982.1,,
Total energy intake (kcal/d),2015,Ontario,Female,9-13,158,1790.7,44.4,1221.6,53.5,1332.0,50.1,1522.5,45.6,1764.7,44.5,2024.9,52.4,2280.8,67.0,2444.8,77.7,,,,,,,,,,,,,,,,,,,,,,,,1790.7,
Total energy intake (kcal/d),2015,Ontario,Male,14-18,165,2435.5,62.1,1500.6,69.5,1678.7,65.4,1996.6,62.2,2380.3,61.9,2812.3,75.6,3254.6,106.0,3576.9,131.1,,,,,,,,,,,,,,,,,,,,,,,2435.5,,
Total energy intake (kcal/d),2015,Ontario,Female,14-18,209,1828.0,58.1,1090.1,71.6,1227.4,65.2,1486.5,57.9,1790.9,57.7,2133.9,71.5,2473.0,94.7,2680.1,110.7,,,,,,,,,,,,,,,,,,,,,,,,1828.0,
Total energy intake (kcal/d),2015,Ontario,Male,19-30,179,2311.7,94.2,1447.9,119.3,1607.5,110.5,1897.7,97.8,2269.9,93.3,2674.6,115.6,3076.4,156.4,3331.1,189.0,,,,,,,,,,,,,,,,,,,,,,,2311.7,,
Total energy intake (kcal/d),2015,Ontario,Female,19-30,166,1613.0,49.0,953,50.9,1070.0,48.4,1292.6,46.6,1580.9,48.4,1884.7,58.6,2202.8,76.2,2410.3,91.5,,,,,,,,,,,,,,,,,,,,,,,,1613.0,
Total energy intake (kcal/d),2015,Ontario,Male,31-50,449,2083.6,50.5,1231.3,143,1386.6,121.3,1672.6,83.5,2044.2,51.8,2441.9,79.1,2831.4,136.8,3092.5,178.3,,,,,,,,,,,,,,,,,,,,,,,2083.6,,
Total energy intake (kcal/d),2015,Ontario,Female,31-50,501,1570.7,33.6,1083.1,92.8,1181.6,79,1347.7,54.4,1553.3,34.8,1772.2,51.9,1986.7,90.8,2121.2,119.1,,,,,,,,,,,,,,,,,,,,,,,,1570.7,
Total energy intake (kcal/d),2015,Ontario,Male,51-70,455,1979.1,53.0,1195.6,96.7,1347.1,83.1,1607.4,63.3,1944.1,51.9,2305.1,71.7,2666.7,107.6,2898.5,133.8,,,,,,,,,,,,,,,,,,,,,,,1979.1,,
Total energy intake (kcal/d),2015,Ontario,Female,51-70,513,1490.7,27.0,927.6,180E,1033.2,148.7,1223.4,92.4,1466.6,29.8,1729.1,75.4,1979.6,152.4,2144.0,204.2,,,,,,,,,,,,,,,,,,,,,,,,1490.7,
Total energy intake (kcal/d),2015,Ontario,Male,71 years and over,238,1808.7,41.7,1072.4,47.7,1224.3,43.9,1478.0,42.0,1778.5,41.7,2109.8,47.9,2429.7,57.7,2641.0,70.1,,,,,,,,,,,,,,,,,,,,,,,1808.7,,
Total energy intake (kcal/d),2015,Ontario,Female,71 years and over,309,1435.7,34.9,898,34.2,999.9,33.1,1177.0,33.0,1410.8,34.5,1662.2,41.3,1914.9,51.1,2070.2,58.5,,,,,,,,,,,,,,,,,,,,,,,,1435.7,
Total energy intake (kcal/d),2015,Ontario,Male,19 years and over,1321,2070.1,31.7,1178.6,34.9,1342.7,32.8,1642.9,30.9,2018.0,31.5,2438.9,37.6,2860.6,48.0,3131.8,56.2,,,,,,,,,,,,,,,,,,,,,,,2070.1,,
Total energy intake (kcal/d),2015,Ontario,Female,19 years and over,1489,1533.2,18.2,944.2,28.2,1055.8,25.5,1255.5,21.2,1504.8,18.4,1778.7,22.7,2052.6,32.7,2225.2,40.7,,,,,,,,,,,,,,,,,,,,,,,,1533.2,
Total energy intake (kcal/d),2004,Ontario,Both,1-3,644,1442.2,29.8,939,164E,1036.2,133.9,1212.5,80.1,1424.9,30.6,1652.3,74.6,1870.5,142.8,2010.8,188.3,,,,,,,,,,,,,,,,,,,,,,,,,1442.2
Total energy intake (kcal/d),2004,Ontario,Both,4-8,956,1849.5,25.4,1409.5,75.3,1497.0,63.7,1649.0,42.7,1833.0,26.1,2031.9,40.9,2224.0,72.4,2346.8,94.5,,,,,,,,,,,,,,,,,,,,,,,,,1849.5
Total energy intake (kcal/d),2004,Ontario,Male,9-13,589,2356.0,43.8,1572.4,71.2,1722.5,63.6,1989.6,51.8,2318.4,44.4,2680.0,51.6,3040.4,73.4,3272.3,92.3,,,,,,,,,,,,,,,,,,,,,,,2356.0,,
Total energy intake (kcal/d),2004,Ontario,Female,9-13,585,1979.4,38.2,1364,51.9,1485.9,47.1,1693.8,40.7,1954.8,37.8,2233.0,46.3,2508.0,62.6,2684.9,75.4,,,,,,,,,,,,,,,,,,,,,,,,1979.4,
Total energy intake (kcal/d),2004,Ontario,Male,14-18,639,2806.0,65.0,1768.2,75.6,1960.6,70.6,2306.0,63.5,2748.1,62.4,3235.7,81.6,3735.0,117.3,4052.6,148.5,,,,,,,,,,,,,,,,,,,,,,,2806.0,,
Total energy intake (kcal/d),2004,Ontario,Female,14-18,645,2043.9,45.6,1266,69.2,1414.6,61.1,1677.3,48.6,2008.2,45.2,2369.2,59.4,2722.9,84.7,2948.4,103.4,,,,,,,,,,,,,,,,,,,,,,,,2043.9,
Total energy intake (kcal/d),2004,Ontario,Male,19-30,481,2635.5,77.2,1695.6,124.8,1868.9,112.3,2183.0,92.2,2587.4,77.8,3026.4,96.9,3473.1,142.2,3766.9,180.8,,,,,,,,,,,,,,,,,,,,,,,2635.5,,
Total energy intake (kcal/d),2004,Ontario,Female,19-30,514,1799.2,45.2,1092.6,52.5,1228.9,49.6,1465.0,45.1,1762.4,45.1,2094.0,53.3,2422.7,68.6,2632.9,81.2,,,,,,,,,,,,,,,,,,,,,,,,1799.2,
Total energy intake (kcal/d),2004,Ontario,Male,31-50,709,2338.8,50.0,1416.7,155.3,1587.6,130.7,1906.3,86.4,2289.7,52.0,2719.9,81.7,3155.6,145.5,3419.6,188.5,,,,,,,,,,,,,,,,,,,,,,,2338.8,,
Total energy intake (kcal/d),2004,Ontario,Female,31-50,758,1763.0,34.7,1229.8,101,1334.6,85.6,1521.6,58.3,1741.9,35.5,1982.3,54.5,2217.3,97.2,2360.4,127.5,,,,,,,,,,,,,,,,,,,,,,,,1763.0,
Total energy intake (kcal/d),2004,Ontario,Male,51-70,758,2124.6,45.7,1300.9,101,1452.4,87,1740.1,61.6,2086.5,45.9,2465.1,64.5,2841.2,102.2,3082.8,129.9,,,,,,,,,,,,,,,,,,,,,,,2124.6,,
Total energy intake (kcal/d),2004,Ontario,Female,51-70,955,1605.8,26.5,1012.9,183E,1128.2,148,1333.5,86.6,1583.0,27.4,1851.0,83.9,2111.2,164.3,2277.0,216.7,,,,,,,,,,,,,,,,,,,,,,,,1605.8,
Total energy intake (kcal/d),2004,Ontario,Male,71 years and over,734,1880.1,38.8,1138.9,45.5,1288.1,41.8,1544.7,39.4,1853.9,39.5,2185.8,44.0,2503.3,54.7,2712.7,64.4,,,,,,,,,,,,,,,,,,,,,,,1880.1,,
Total energy intake (kcal/d),2004,Ontario,Female,71 years and over,1345,1526.1,27.2,963.3,31.5,1068.5,29.6,1259.2,26.9,1497.2,26.8,1762.3,33.0,2022.2,42.9,2188.4,51.1,,,,,,,,,,,,,,,,,,,,,,,,1526.1,
Total energy intake (kcal/d),2004,Ontario,Male,19 years and over,2682,2316.8,29.4,1357.9,35,1533.4,33,1860.9,29.7,2262.5,29.4,2714.3,35.2,3167.7,46.8,3465.3,57.8,,,,,,,,,,,,,,,,,,,,,,,2316.8,,
Total energy intake (kcal/d),2004,Ontario,Female,19 years and over,3572,1702.1,18.9,1071.8,29.2,1192.8,26.3,1409.2,21.3,1671.8,18.8,1967.2,24.8,2246.3,35.0,2428.9,43.7,,,,,,,,,,,,,,,,,,,,,,,,1702.1,
Total dietary fibre (g/d),2015,Ontario,Both,1-3,228,11.1,0.4,5.6,0.4,6.6,0.4,8.5,0.4,10.8,0.4,13.4,0.5,16.0,0.6,17.7,0.7,19.0,F,,0.034,,,,,,,,,,,,,,,,,,,,,11.1
Total dietary fibre (g/d),2015,Ontario,Both,4-8,221,14.6,0.4,9.2,0.5,10.2,0.5,12.0,0.5,14.3,0.4,16.8,0.5,19.3,0.7,20.8,0.9,25.0,<3,,0.114,,,,,,,,,,,,,,,,,,,,,14.6
Total dietary fibre (g/d),2015,Ontario,Male,9-13,187,16.6,0.6,9.4,0.5,10.6,0.5,13.0,0.5,15.9,0.6,19.5,0.7,23.2,0.8,25.8,1.0,31.0,<3,,0.12,,,,,,,,,,,,,,,,,,,16.6,,
Total dietary fibre (g/d),2015,Ontario,Female,9-13,158,14.5,0.4,9.2,0.6,10.2,0.5,12.0,0.5,14.2,0.4,16.7,0.5,19.1,0.7,20.7,0.9,26.0,<3,,0.657,,,,,,,,,,,,,,,,,,,,14.5,
Total dietary fibre (g/d),2015,Ontario,Male,14-18,165,18.5,0.6,10.1,0.7,11.6,0.6,14.4,0.6,17.8,0.6,21.9,0.7,26.1,1.0,29.3,1.3,38.0,<3,,0.597,,,,,,,,,,,,,,,,,,,18.5,,
Total dietary fibre (g/d),2015,Ontario,Female,14-18,209,15.5,0.6,8.2,0.7,9.4,0.6,11.9,0.6,14.9,0.6,18.5,0.8,22.1,1.0,24.4,1.2,26.0,F,,0.154,,,,,,,,,,,,,,,,,,,,15.5,
Total dietary fibre (g/d),2015,Ontario,Male,19-30,179,17.3,0.7,8.5,0.8,9.9,0.7,12.7,0.7,16.5,0.7,21.0,1.0,25.7,1.3,28.8,1.6,38.0,<3,,0.052,,,,,,,,,,,,,,,,,,,17.3,,
